Tarih	GunAdi	Miladi Tarih	Hicri Tarih	İmsak	Güneş	Öğle	İkindi	Akşam	Yatsı
2026-12-01	Salı	01 Aralık 2026 Salı	22 Cemaziyelahir 1448	05:41	07:15	12:04	14:22	16:44	18:07
2026-12-02	Çarşamba	02 Aralık 2026 Çarşamba	23 Cemaziyelahir 1448	05:42	07:16	12:05	14:22	16:43	18:07
2026-12-03	Perşembe	03 Aralık 2026 Perşembe	24 Cemaziyelahir 1448	05:42	07:17	12:05	14:22	16:43	18:06
2026-12-04	Cuma	04 Aralık 2026 Cuma	25 Cemaziyelahir 1448	05:43	07:18	12:06	14:21	16:43	18:06
2026-12-05	Cumartesi	05 Aralık 2026 Cumartesi	26 Cemaziyelahir 1448	05:44	07:19	12:06	14:21	16:43	18:06
2026-12-06	Pazar	06 Aralık 2026 Pazar	27 Cemaziyelahir 1448	05:45	07:20	12:06	14:21	16:42	18:06
2026-12-07	Pazartesi	07 Aralık 2026 Pazartesi	28 Cemaziyelahir 1448	05:46	07:21	12:07	14:21	16:42	18:06
2026-12-08	Salı	08 Aralık 2026 Salı	29 Cemaziyelahir 1448	05:47	07:22	12:07	14:21	16:42	18:06
2026-12-09	Çarşamba	09 Aralık 2026 Çarşamba	30 Cemaziyelahir 1448	05:48	07:23	12:08	14:21	16:42	18:06
2026-12-10	Perşembe	10 Aralık 2026 Perşembe	1 Recep 1448	05:48	07:24	12:08	14:21	16:42	18:06
2026-12-11	Cuma	11 Aralık 2026 Cuma	2 Recep 1448	05:49	07:25	12:09	14:21	16:42	18:06
2026-12-12	Cumartesi	12 Aralık 2026 Cumartesi	3 Recep 1448	05:50	07:26	12:09	14:22	16:42	18:07
2026-12-13	Pazar	13 Aralık 2026 Pazar	4 Recep 1448	05:51	07:27	12:09	14:22	16:42	18:07
2026-12-14	Pazartesi	14 Aralık 2026 Pazartesi	5 Recep 1448	05:51	07:27	12:10	14:22	16:43	18:07
2026-12-15	Salı	15 Aralık 2026 Salı	6 Recep 1448	05:52	07:28	12:10	14:22	16:43	18:07
2026-12-16	Çarşamba	16 Aralık 2026 Çarşamba	7 Recep 1448	05:53	07:29	12:11	14:22	16:43	18:08
2026-12-17	Perşembe	17 Aralık 2026 Perşembe	8 Recep 1448	05:53	07:30	12:11	14:23	16:43	18:08
2026-12-18	Cuma	18 Aralık 2026 Cuma	9 Recep 1448	05:54	07:30	12:12	14:23	16:44	18:08
2026-12-19	Cumartesi	19 Aralık 2026 Cumartesi	10 Recep 1448	05:55	07:31	12:12	14:23	16:44	18:09
2026-12-20	Pazar	20 Aralık 2026 Pazar	11 Recep 1448	05:55	07:31	12:13	14:24	16:44	18:09
2026-12-21	Pazartesi	21 Aralık 2026 Pazartesi	12 Recep 1448	05:56	07:32	12:13	14:24	16:45	18:10
2026-12-22	Salı	22 Aralık 2026 Salı	13 Recep 1448	05:56	07:32	12:14	14:25	16:45	18:10
2026-12-23	Çarşamba	23 Aralık 2026 Çarşamba	14 Recep 1448	05:57	07:33	12:14	14:25	16:46	18:11
2026-12-24	Perşembe	24 Aralık 2026 Perşembe	15 Recep 1448	05:57	07:33	12:15	14:26	16:46	18:11
2026-12-25	Cuma	25 Aralık 2026 Cuma	16 Recep 1448	05:58	07:34	12:15	14:27	16:47	18:12
2026-12-26	Cumartesi	26 Aralık 2026 Cumartesi	17 Recep 1448	05:58	07:34	12:16	14:27	16:48	18:12
2026-12-27	Pazar	27 Aralık 2026 Pazar	18 Recep 1448	05:58	07:34	12:16	14:28	16:48	18:13
2026-12-28	Pazartesi	28 Aralık 2026 Pazartesi	19 Recep 1448	05:59	07:35	12:17	14:28	16:49	18:14
2026-12-29	Salı	29 Aralık 2026 Salı	20 Recep 1448	05:59	07:35	12:17	14:29	16:50	18:14
2026-12-30	Çarşamba	30 Aralık 2026 Çarşamba	21 Recep 1448	05:59	07:35	12:18	14:30	16:50	18:15
2026-12-31	Perşembe	31 Aralık 2026 Perşembe	22 Recep 1448	05:59	07:35	12:18	14:31	16:51	18:16
