Tarih	GunAdi	Miladi Tarih	Hicri Tarih	İmsak	Güneş	Öğle	İkindi	Akşam	Yatsı
2027-01-01	Cuma	01 Ocak 2027 Cuma	23 Recep 1448	05:43	07:14	12:06	14:27	16:48	18:08
2027-01-02	Cumartesi	02 Ocak 2027 Cumartesi	24 Recep 1448	05:43	07:14	12:07	14:28	16:49	18:09
2027-01-03	Pazar	03 Ocak 2027 Pazar	25 Recep 1448	05:43	07:14	12:07	14:29	16:50	18:10
2027-01-04	Pazartesi	04 Ocak 2027 Pazartesi	26 Recep 1448	05:44	07:14	12:07	14:30	16:51	18:10
2027-01-05	Salı	05 Ocak 2027 Salı	27 Recep 1448	05:44	07:14	12:08	14:30	16:51	18:11
2027-01-06	Çarşamba	06 Ocak 2027 Çarşamba	28 Recep 1448	05:44	07:14	12:08	14:31	16:52	18:12
2027-01-07	Perşembe	07 Ocak 2027 Perşembe	29 Recep 1448	05:44	07:14	12:09	14:32	16:53	18:13
2027-01-08	Cuma	08 Ocak 2027 Cuma	30 Recep 1448	05:44	07:14	12:09	14:33	16:54	18:14
2027-01-09	Cumartesi	09 Ocak 2027 Cumartesi	1 Şaban 1448	05:44	07:14	12:10	14:34	16:55	18:15
2027-01-10	Pazar	10 Ocak 2027 Pazar	2 Şaban 1448	05:44	07:14	12:10	14:35	16:56	18:16
2027-01-11	Pazartesi	11 Ocak 2027 Pazartesi	3 Şaban 1448	05:44	07:14	12:10	14:36	16:57	18:16
2027-01-12	Salı	12 Ocak 2027 Salı	4 Şaban 1448	05:44	07:13	12:11	14:37	16:58	18:17
2027-01-13	Çarşamba	13 Ocak 2027 Çarşamba	5 Şaban 1448	05:43	07:13	12:11	14:38	16:59	18:18
2027-01-14	Perşembe	14 Ocak 2027 Perşembe	6 Şaban 1448	05:43	07:13	12:12	14:39	17:00	18:19
2027-01-15	Cuma	15 Ocak 2027 Cuma	7 Şaban 1448	05:43	07:12	12:12	14:39	17:02	18:20
2027-01-16	Cumartesi	16 Ocak 2027 Cumartesi	8 Şaban 1448	05:43	07:12	12:12	14:40	17:03	18:21
2027-01-17	Pazar	17 Ocak 2027 Pazar	9 Şaban 1448	05:42	07:12	12:13	14:41	17:04	18:22
2027-01-18	Pazartesi	18 Ocak 2027 Pazartesi	10 Şaban 1448	05:42	07:11	12:13	14:42	17:05	18:23
2027-01-19	Salı	19 Ocak 2027 Salı	11 Şaban 1448	05:42	07:11	12:13	14:43	17:06	18:24
2027-01-20	Çarşamba	20 Ocak 2027 Çarşamba	12 Şaban 1448	05:41	07:10	12:14	14:44	17:07	18:25
2027-01-21	Perşembe	21 Ocak 2027 Perşembe	13 Şaban 1448	05:41	07:09	12:14	14:46	17:08	18:26
2027-01-22	Cuma	22 Ocak 2027 Cuma	14 Şaban 1448	05:41	07:09	12:14	14:47	17:10	18:27
